TravelMonth,AirMiles,CarMiles,RailMiles
1990-1,35153577000,163275383527,454115779000
1990-2,32965187000,153254408768,435086002000
1990-3,39993913000,178417577159,568289732000
1990-4,37981886000,178680685639,568101697000
1990-5,38419672000,188876170781,539628385000
1990-6,42819023000,189159078009,570694457000
1990-7,45770315000,195090029789,618571581000
1990-8,48763670000,196674157670,609210368000
1990-9,38173223000,178065364213,488444939000
1990-10,39051877000,182274619593,514253920000
1990-11,35699216000,171225987744,516429873000
1990-12,37444088000,168287533712,531619395000
1991-1,34848290000,157876834362,496467387000
1991-2,29672427000,153339406664,469504489000
1991-3,36202993000,179062119688,587905914000
1991-4,37146602000,179524665005,509488334000
1991-5,38869421000,191914709033,566342448000
1991-6,42199760000,193451849074,603845247000
1991-7,45384965000,198371199125,633450001000
1991-8,48164550000,204046922082,664013874000
1991-9,38481957000,183579670411,494557648000
1991-10,39062110000,188430569998,509037626000
1991-11,34688141000,169679970920,472359118000
1991-12,38575165000,172769097075,550795984000
1992-1,35265807000,167886000000,493541137000
1992-2,33868884000,160425000000,462084011000
1992-3,39724539000,184030000000,559205172000
1992-4,37294373000,186320000000,572122965000
1992-5,39728367000,196985000000,546043825000
1992-6,45754460000,197490000000,478204759000
1992-7,50807813000,206882000000,610774196000
1992-8,53219046000,205016000000,627359211000
1992-9,41564915000,191159000000,516516158000
1992-10,40578092000,195095000000,538313763000
1992-11,36863415000,177618000000,539769246000
1992-12,39045016000,181245000000,551397116000
1993-1,37911556000,171655000000,500349189000
1993-2,34902869000,162820000000,461280157000
1993-3,42058882000,187842000000,534476186000
1993-4,40814097000,188709000000,562429065000
1993-5,42133943000,205952000000,554039017000
1993-6,44679864000,199386000000,580500717000
1993-7,48622037000,209809000000,586861727000
1993-8,50451675000,209603000000,611839976000
1993-9,41677832000,193737000000,501353952000
1993-10,43264475000,197764000000,507702230000
1993-11,38868799000,182296000000,489299178000
1993-12,40610043000,186802000000,503041903000
1994-1,38863562000,169314000000,472917856000
1994-2,36068535000,166445000000,463567851000
1994-3,45433842000,196189000000,572167273000
1994-4,42418163000,195408000000,546898075000
