TravelMonth,CarMiles
1990-1,163275383527
1990-2,153254408768
1990-3,178417577159
1990-4,178680685639
1990-5,188876170781
1990-6,189159078009
1990-7,195090029789
1990-8,196674157670
1990-9,178065364213
1990-10,182274619593
1990-11,171225987744
1990-12,168287533712
1991-1,157876834362
1991-2,153339406664
1991-3,179062119688
1991-4,179524665005
1991-5,191914709033
1991-6,193451849074
1991-7,198371199125
1991-8,204046922082
1991-9,183579670411
1991-10,188430569998
1991-11,169679970920
1991-12,172769097075
1992-1,167886000000
1992-2,160425000000
1992-3,184030000000
1992-4,186320000000
1992-5,196985000000
1992-6,197490000000
1992-7,206882000000
1992-8,205016000000
1992-9,191159000000
1992-10,195095000000
1992-11,177618000000
1992-12,181245000000
1993-1,171655000000
1993-2,162820000000
1993-3,187842000000
1993-4,188709000000
1993-5,205952000000
1993-6,199386000000
1993-7,209809000000
1993-8,209603000000
1993-9,193737000000
1993-10,197764000000
1993-11,182296000000
1993-12,186802000000
1994-1,169314000000
1994-2,166445000000
1994-3,196189000000
1994-4,195408000000
1994-5,206595000000
1994-6,207281000000
1994-7,214777000000
1994-8,215046000000
1994-9,200511000000
1994-10,202864000000
1994-11,190073000000
1994-12,193086000000
1995-1,183617000000
1995-2,172522000000
1995-3,202408000000
1995-4,199527000000
1995-5,213564000000
1995-6,212282000000
1995-7,217719000000
1995-8,219873000000
1995-9,204323000000
1995-10,206990000000
1995-11,195409000000
1995-12,194585000000
1996-1,183737000000
1996-2,176819000000
1996-3,204469000000
1996-4,205557000000
1996-5,218999000000
1996-6,215871000000
1996-7,225440000000
1996-8,229385000000
1996-9,207908000000
1996-10,215972000000
1996-11,199937000000
1996-12,201754000000
1997-1,190126000000
1997-2,183951000000
1997-3,211952000000
1997-4,211290000000
1997-5,226082000000
1997-6,222254000000
1997-7,236713000000
1997-8,233497000000
1997-9,213548000000
1997-10,221219000000
1997-11,202422000000
1997-12,207322000000
1998-1,196871000000
1998-2,187167000000
1998-3,214222000000
1998-4,217921000000
1998-5,227901000000
1998-6,228732000000
1998-7,239944000000
1998-8,237143000000
1998-9,219461000000
1998-10,228523000000
1998-11,211178000000
1998-12,216304000000
1999-1,194436000000
1999-2,192333000000
1999-3,221739000000
1999-4,221979000000
1999-5,231814000000
1999-6,237016000000
1999-7,244198000000
1999-8,242568000000
1999-9,225303000000
1999-10,234661000000
1999-11,222831000000
1999-12,222458000000
2000-1,203582000000
2000-2,199638000000
2000-3,232627000000
2000-4,227808000000
2000-5,242108000000
2000-6,243012000000
2000-7,245083000000
2000-8,247770000000
2000-9,227328000000
2000-10,236554000000
2000-11,222799000000
2000-12,218436000000
2001-1,209259000000
2001-2,199909000000
2001-3,231489000000
2001-4,231365000000
2001-5,244252000000
2001-6,242579000000
2001-7,248785000000
2001-8,251688000000
2001-9,224571000000
2001-10,240000000000
2001-11,229479000000
2001-12,228087000000
2002-1,213808000000
2002-2,206462000000
2002-3,234005000000
2002-4,234809000000
2002-5,249886000000
2002-6,246389000000
2002-7,254194000000
2002-8,256244000000
2002-9,230597000000
2002-10,243289000000
2002-11,228389000000
2002-12,231262000000
2003-1,216600000000
2003-2,201900000000
2003-3,236700000000
2003-4,238100000000
2003-5,253200000000
2003-6,252000000000
2003-7,261300000000
2003-8,259600000000
2003-9,236000000000
2003-10,253400000000
2003-11,233300000000
2003-12,237600000000
2004-1,217300000000
2004-2,210400000000
2004-3,247500000000
2004-4,245400000000
